ds,yhat,yhat_lower,yhat_upper
2000-01-31,140380.06117038633,130184.80532725164,150271.28199325525
2000-02-29,140376.79682666343,130213.00462437331,150311.15816127445
2000-03-31,141639.2324703164,132058.06519766303,152084.09543622454
2000-04-30,142916.4769133291,133260.77923244392,153336.38608790922
2000-05-31,143834.09888637703,133637.20995942256,153202.9266436169
2000-06-30,144161.7641920345,134510.8376113587,153819.6226724811
2000-07-31,143869.77244673015,133811.02409259335,154245.13804846854
2000-08-31,143477.39746133846,133459.604888087,152548.02336473975
2000-09-30,142834.6826432541,133160.6904565694,153731.3922207522
2000-10-31,145453.7504076277,135643.74066253612,154476.98296907832
2000-11-30,145559.79859158656,136193.09589827838,155656.71117021402
2000-12-31,146035.47334384476,136080.70339800685,156557.13952720497
2001-01-31,147125.69305561512,137289.9521555627,156982.97496123848
2001-02-28,145437.76505995443,134459.77652651691,155299.99894864604
2001-03-31,146093.96570166032,136894.05441694203,155701.08674024648
2001-04-30,146785.02286953898,137298.25154296227,157947.74665041905
2001-05-31,147345.8010446038,137578.47812098076,156896.45137683334
2001-06-30,147682.43708744008,137737.9813970215,157180.3613942557
2001-07-31,147753.86245178516,137999.11004293858,157519.33914011501
2001-08-31,147733.42312792144,137652.0966367822,158095.71942821698
2001-09-30,147586.48672363296,138058.93378862497,158763.49073730982
2001-10-31,149252.5656653316,139434.5528015353,160007.8821901364
2001-11-30,149406.72957143208,139436.37527252626,159442.24198816952
2001-12-31,149671.49046304388,140027.5457405973,159935.37339923906
2002-01-31,150159.78870311845,140397.69356479854,160191.33529268528
2002-02-28,150515.8008330338,141380.38985270454,161003.39537188874
2002-03-31,150532.8434007828,140066.33968211844,161788.404418134
2002-04-30,150632.87333257342,140493.44714776022,160799.74397625003
2002-05-31,150847.9115840739,140901.29517019165,160776.48068523532
2002-06-30,151211.9794256982,141209.8332785102,161040.9022193917
2002-07-31,151656.027557449,141837.24193309317,161758.27312355375
2002-08-31,152005.02783598652,142023.72508840088,161390.88876348766
2002-09-30,152330.4098175019,142131.86908452463,162742.31272357184
2002-10-31,153033.1379475114,141986.15535450925,162252.19951302587
2002-11-30,153244.03701663238,143113.10715822942,163109.97182925558
2002-12-31,153300.8845990252,143236.46641856764,162917.5289563888
2003-01-31,153213.90551407734,142790.1793653487,162700.25519077716
2003-02-28,155609.58201804032,145390.53090571787,165856.80685840646
2003-03-31,154954.99362165606,144658.83810156368,165007.253161153
2003-04-30,154462.49977413306,144351.5754406031,163904.15187477987
2003-05-31,154345.86857969343,143915.68004834835,165008.03049037379
2003-06-30,154758.09544032207,144763.75958097953,163777.77400853476
2003-07-31,155585.75711190174,146103.22911756806,165362.93477372974
2003-08-31,156303.38825001626,145676.81073140856,166479.68111540697
2003-09-30,157079.49472403107,147177.72811293261,167375.8477514836
2003-10-31,156811.8824177276,147404.19631934556,167121.95465259516
2003-11-30,157090.80403351475,147932.2059966199,167177.17468149003
2003-12-31,156945.48978217944,146937.5204346408,166897.11781509532
2004-01-31,156316.34322844748,145754.69960152393,166909.10176984873
2004-02-29,156318.88838022944,146186.26137932233,165900.09959304222
2004-03-31,157587.53417424747,147364.63694290427,168070.7434200755
2004-04-30,158870.78844019427,148641.96618057005,168667.95709980815
2004-05-31,159794.62056360414,149542.46828878726,170057.70347305734
2004-06-30,160128.29569220147,150449.84597821164,170234.56607975776
2004-07-31,159842.51409726188,149477.7066293589,170497.19652749217
2004-08-31,159456.34926223638,149101.2304153384,169321.19544688586
2004-09-30,158819.6442670881,148853.20935247457,168659.42085582658
2004-10-31,161444.92218183342,151846.16952404173,171836.57237976816
2004-11-30,161563.5331495132,151829.65827549234,171628.0817117409
2004-12-31,162052.18944496498,152517.1450296737,172028.09699513868
2005-01-31,163155.3906999174,152444.125574546,174262.0673816177
2005-02-28,161479.18796906978,151381.19434918676,171581.98152650736
2005-03-31,162148.3701539555,152504.5483013543,172183.80800388465
2005-04-30,162851.9901055615,152806.8450420684,172843.7098364378
2005-05-31,163425.74982380914,153335.457372047,173597.41856082928
2005-06-30,163774.9486503767,153089.0778768111,173546.5194271225
2005-07-31,163859.3555579064,153702.79685539284,174422.8367206723
2005-08-31,163851.95728605532,153808.34484393388,173942.2413940772
2005-09-30,163717.64125125416,153533.71728635745,174801.11422076877
2005-10-31,165396.76124141694,154960.03987109737,174983.45771793035
2005-11-30,165563.54551700383,155983.1647315875,175350.9985643734
2005-12-31,165841.34745708527,156014.76024347832,175380.80686599258
2006-01-31,166342.6867456372,156082.86339595795,176337.74362717257
2006-02-28,166710.4778870645,156527.79044863724,177166.7493186026
2006-03-31,166740.56150328388,156305.79575386373,177321.98710296155
2006-04-30,166853.21180456143,157681.40473888282,176609.23793635188
2006-05-31,167081.29110452844,156966.21111198477,177671.31687179065
2006-06-30,167457.97852349214,157276.24811873015,177360.10726099822
2006-07-31,167915.0668851538,157439.11109051981,177851.70058946245
2006-08-31,168277.10739360814,157678.407973756,178299.22806274737
2006-09-30,168615.1089524613,159063.65787539296,178085.2964943725
2006-10-31,169330.8773123749,160080.94210698092,178494.05793955387
2006-11-30,169554.39595883287,159161.94933322238,180016.16798354103
2006-12-31,169624.28377113212,158941.93948848528,179420.29780105533
2007-01-31,169550.34491609753,159936.16427780048,179451.94024133336
2007-02-28,171957.79969223574,162050.67050425804,182467.00932959226
2007-03-31,171316.2515218317,161516.59982159504,181351.99463134972
2007-04-30,170834.07745728022,161125.70155155341,181587.34615597822
2007-05-31,170728.11003857473,161253.38917125404,180998.20322047005
2007-06-30,171150.65668217101,160779.25100604314,180765.74830523678
2007-07-31,171988.98212948604,161905.8298068843,182497.68191993498
2007-08-31,172717.2770433356,162889.21919063147,183357.1529073031
2007-09-30,173503.70330032354,162922.95109141697,182892.9694907292
2007-10-31,173246.75476974732,162481.7508004064,184026.58507938348
2007-11-30,173535.996168508,164118.7863402767,183792.9056926721
2007-12-31,172885.6193236146,163108.64841867628,183487.142718444
2008-01-31,171747.57730249228,161656.931286828,181493.9289679813
2008-02-29,171274.05895251417,160662.40786228314,181445.6390670113
2008-03-31,172033.80927914497,161982.60400510032,182230.33129377032
2008-04-30,172824.58406051024,162525.74600452048,182477.37905090424
2008-05-31,173239.52071652768,162844.116256961,183896.71886458
2008-06-30,173080.71636054918,163100.61336268438,182782.78757882057
2008-07-31,172286.03929821283,161850.73480126608,182241.0977126261
2008-08-31,171390.97899579196,161398.33653324688,181105.71905829452
2008-09-30,170261.79451607258,159964.7770131449,181067.20132705104
2008-10-31,171956.0938439185,161786.17087787032,182494.37621192573
2008-11-30,171167.2048509707,161210.19020273307,181085.6910814101
2008-12-31,170718.11118709727,160653.9765909585,179953.18651793446
2009-01-31,170883.5624827318,160527.45217633873,180844.4727556867
2009-02-28,168360.3597886225,158961.323496232,178381.0526801275
2009-03-31,168091.79201419893,159007.2352460586,178265.70352663775
2009-04-30,167887.91200517234,157423.70277792923,177931.4047215056
2009-05-31,167523.92176410483,157344.70988007545,177789.70631808744
2009-06-30,166965.62063003753,156629.51114164625,177215.53587308817
2009-07-31,166112.27756052732,156292.9926910952,176214.95703550926
2009-08-31,165167.0698028144,154508.8981866905,175331.02183229665
2009-09-30,164125.1962010492,154966.6225184126,173935.9460159005
2009-10-31,164866.50670535097,154433.84499457147,175138.95773833987
2009-11-30,164125.7334139755,154611.29098944797,174066.65792319804
2009-12-31,163465.72586818723,153443.13572348136,173552.78871476516
2010-01-31,163029.25567087412,153140.24570320867,172593.7371611243
2010-02-28,162549.9930831448,153069.08839341375,172808.79986418784
2010-03-31,161642.26721349655,151736.03844926762,171337.57946086238
2010-04-30,160847.35994781365,151089.54061424916,170915.42249539413
2010-05-31,160137.6296660459,150379.93329191385,170203.73176159512
2010-06-30,159606.7594014746,150123.6356447544,169738.5188445817
2010-07-31,159126.03815682326,148998.3647744549,169253.67298059617
2010-08-31,158550.26905896343,148505.88020184412,168272.23450944707
2010-09-30,157980.71293428092,148055.8990996048,168177.1725988837
2010-10-31,157758.67168788917,147680.64143892284,167294.68679042874
2010-11-30,157074.63265081798,146918.6178150049,168113.28829742994
2010-12-31,156206.71085681036,145797.47760882665,166791.055549087
2011-01-31,155194.96239545132,145460.92344510191,164836.36041235633
2011-02-28,156755.36341240426,147658.02603988853,166968.87095266444
2011-03-31,155176.00572681765,145658.59004462865,165502.4011495638
2011-04-30,153786.2740669368,143603.79803296985,163395.09233774288
2011-05-31,152742.4971330583,142886.4041723047,162178.5593226598
2011-06-30,152257.48618132432,142209.76508364518,162975.61451764702
2011-07-31,152158.00211346394,142425.93086322717,161952.38595671323
2011-08-31,151948.48751213963,142166.02028267496,162011.60499265906
2011-09-30,151827.35617379242,141584.06268687622,162362.55703797782
2011-10-31,150632.59812804929,140485.33162211024,160268.4084782967
2011-11-30,150014.28193147713,139348.9392570426,159370.59367211824
2011-12-31,149316.45788801025,139331.8079283947,159508.05771586165
2012-01-31,148130.9686683045,137825.6625680323,158676.32913903246
2012-02-29,147613.06422933584,138339.57575090852,157350.0928522332
2012-03-31,148325.36735737353,138502.9012209898,158198.7312561181
2012-04-30,149070.2254949573,138931.80776995135,159708.84151959958
2012-05-31,149437.7149523921,139091.45461033852,158887.70232674593
2012-06-30,149232.99395262718,140414.93551276045,159856.26435023753
2012-07-31,148390.8696917104,138142.45538653314,158251.00718087368
2012-08-31,147448.36219070762,137308.76814034395,156423.74909474255
2012-09-30,146825.33162010743,136542.3184073643,157617.6796535978
2012-10-31,149464.73977354125,139636.49885263667,159188.27776066915
2012-11-30,149590.4722247116,139072.42350746892,159925.76667115706
2012-12-31,150086.48738642051,140116.15320330719,160119.57888251785
2013-01-31,151197.04750764082,140828.8634559287,161442.7567622237
2013-02-28,149527.4914947143,139023.17962602124,158045.0222925483
2013-03-31,150204.0325458672,140820.42879324118,160463.73313449966
2013-04-30,150914.77398095725,141445.34059210028,161215.03165035887
2013-05-31,151495.8925654732,141468.25698531358,161161.46485015817
2013-06-30,152252.58598842888,142362.69002545718,162173.21301543666
2013-07-31,152758.0706455683,142323.61817558232,163156.4547521288
2013-08-31,153171.69061449356,143137.96080047297,162906.03197162555
2013-09-30,153444.81158690117,142898.69475166113,163872.94315903948
2013-10-31,155544.94981784685,146360.05339113862,165268.39644165305
2013-11-30,156119.17110063822,146404.24509094594,166446.2204066729
2013-12-31,156817.99128149977,146508.51528416426,166485.66897314836
2014-01-31,157740.348810827,147515.8336201875,167888.01504838027
2014-02-28,158488.41449232103,148671.60191076313,168237.82009828984
2014-03-31,158939.51634932248,148787.3376570765,169630.3843017188
2014-04-30,159606.61425227168,149870.1183484227,169320.47950100224
2014-05-31,160407.6227406385,150668.95362619404,170972.56740890632
2014-06-30,161338.75773748956,150848.69041765147,170430.17728830464
2014-07-31,162368.77526298008,152189.2217366598,172134.4690704068
2014-08-31,163303.74493525675,152905.02662719047,173854.13847120045
2014-09-30,164196.19407200077,154033.69172009168,173904.18349161564
2014-10-31,165484.89159573955,155897.8958194558,175135.42127718145
2014-11-30,166262.8578200922,156118.77449890456,176520.05396710825
2014-12-31,166905.67479622056,156294.916248582,176711.79378321828
2015-01-31,167560.541786416,157495.1003687417,177566.2815655419
2015-02-28,170626.27280986597,160899.58974508615,179730.66163379
2015-03-31,170713.53048864388,160130.6219661828,180791.58086628007
2015-04-30,170936.65240716003,160566.80630933022,180675.64915391305
2015-05-31,171559.49083763134,161214.3035978518,181730.15841227668
2015-06-30,172687.33346430308,163107.77811797694,183212.27829941132
2015-07-31,174254.4647607942,164090.92722825674,184407.48576963626
2015-08-31,175711.56552381764,166200.95185021192,186094.28659308614
2015-09-30,177203.2877638724,167586.07074910033,188430.38110017797
2015-10-31,177675.14508247862,168353.0561661631,188107.01220038568
2015-11-30,178765.0300100235,168458.9677174664,189060.62833137237
2015-12-31,179457.7111808376,169005.62011517747,188829.160966487
2016-01-31,179662.72717541447,169693.39290109105,189728.53773550084
2016-02-29,180445.61793690655,170601.59941645703,190908.78256756943
2016-03-31,182548.42627922664,172942.60477649546,193434.02812838444
2016-04-30,184638.9346241777,174148.12606675678,194677.16202747877
2016-05-31,186396.92929589286,175895.19954135775,196315.2401673701
2016-06-30,187537.85850349022,177474.65779621492,197479.78749652585
2016-07-31,188086.239456858,177823.57313232415,198450.18327566196
2016-08-31,188552.44046528247,178295.11879766092,198270.51150775468
2016-09-30,188740.6056412205,178399.0396208576,199212.46976425627
2016-10-31,192218.24939940716,181595.73292241988,202344.36052683936
2016-11-30,193155.17759711458,182791.430747084,202842.3218417735
2016-12-31,194489.4283635796,184541.54187801667,204635.95225845763
2017-01-31,196438.22408955582,186407.60542942697,206857.39209052204
2017-02-28,195525.78410671934,185577.8694998461,205631.92084180677
2017-03-31,197040.56076263485,186871.13146740213,207337.75859791867
2017-04-30,198562.49794426392,188008.98150321707,208837.16451301816
2017-05-31,199981.85213353403,189527.82277724613,210239.70315721445
2017-06-30,201153.11138442042,191439.2570559517,211280.76925585853
2017-07-31,202086.98073040994,192507.6376489932,211788.11623291584
2017-08-31,202928.98538819686,192939.65349277173,212458.01538480018
2017-09-30,203616.67218853525,193621.4260979905,213972.01578749082
2017-10-31,206145.19510832924,196097.26381778467,215939.77079552956
2017-11-30,207133.98221905058,197273.87479172877,218094.4542966989
2017-12-31,208261.18708876334,197835.49639402505,217587.41710001056
2018-01-31,209611.9293069518,200630.76862193452,219347.1247639455
2018-02-28,210746.9230945071,200484.01819182697,220660.03336389788
2018-03-31,211629.2777025824,202125.73597582482,221471.75500627724
2018-04-30,212566.7063830803,203404.37998448405,221909.04606336346
2018-05-31,213647.0566749065,202837.39318462647,224103.57742117732
2018-06-30,214848.52244929792,204297.91924994503,224621.99578270668
2018-07-31,216157.88177824012,205512.02743760557,225601.98774438247
2018-08-31,217372.19325397353,208217.52841497897,227239.04587857318
2018-09-30,218534.97316824933,209383.58680289754,229416.60302550075
2018-10-31,220103.01249545618,210157.64750651992,229933.69308904925
2018-11-30,221151.30949734393,211253.21473036453,231127.89352393
2018-12-31,222073.46827693222,211547.918810366,232378.3802523847
2019-01-31,223383.09462414996,213679.24699694818,232576.24672693392
2019-02-28,227040.2211958949,217018.3287236674,237014.96729646096
2019-03-31,227782.23823169357,217546.31952645784,238123.30630539128
2019-04-30,228638.9982376633,218868.39739525315,239261.3874863502
2019-05-31,229916.59602516505,219253.9603672387,239783.42640909945
2019-06-30,231678.07673928727,221029.7112147741,241351.82187329174
2019-07-31,233899.96739279845,223854.23104477482,244261.61276331765
2019-08-31,236011.82751285355,225756.92434614798,245417.00903832435
2019-09-30,238137.18784036217,228214.24585867004,247826.34158302317
2019-10-31,240406.29255514432,229999.8094313103,250483.8665404097
2019-11-30,243140.10161069618,233023.09314830202,253486.02337228027
2019-12-31,245531.50438044925,235376.26055326365,255614.65334068882
2020-01-31,247435.2419739561,237489.39453368518,256930.56783305595
2020-02-29,249807.25939251756,240138.6413796694,259891.07956444833
2020-03-31,253608.78933378088,243812.60108711795,264182.3684394076
2020-04-30,257343.22180674074,247395.24335556434,267427.8233981421
2020-05-31,260799.9380773985,251066.97825667963,270940.68321216764
2020-06-30,263584.7914130044,253787.34291936475,273726.6884401286
2020-07-31,265831.8939653042,255852.03877466777,275704.2205600731
2020-08-31,267978.613277527,258610.01452365532,277919.3908868364
2020-09-30,269793.0864893957,259446.37237087922,280185.960932356
2020-10-31,274951.2485513707,265039.87839869474,285506.42822645337
2020-11-30,277514.484785009,268057.77004621795,287523.8275279306
2020-12-31,280529.2538552698,270448.95909683005,291483.01968129276
2021-01-31,284158.56788504217,273972.97473491606,293778.8323787214
2021-02-28,284764.01540241926,275186.22051201767,294703.3854437751
2021-03-31,287959.3103621281,278281.5382520335,298393.4981958109
2021-04-30,291107.5555796799,280379.532180005,301419.3750222998
2021-05-31,294207.4280727467,284623.7949866302,304669.7590860925
2021-06-30,297001.2521652642,286155.4451345246,307075.29828640906
2021-07-31,299611.7718476128,290282.9713009568,310415.3373315064
2021-08-31,302130.4268417482,291840.09092901106,312304.3846170289
2021-09-30,304440.67848371586,294503.96175147383,314353.8310961329
2021-10-31,308645.8517398749,298157.09512593463,318564.4207636738
2021-11-30,311257.2036922273,300950.6306598098,320887.7924111587
2021-12-31,314061.0588983003,303930.0647736018,323869.677889072
2022-01-31,317088.4514528369,307603.52906851715,327379.5529080393
2022-02-28,319737.83909259364,310455.200906419,329571.670845435
2022-03-31,322293.9759747932,312146.90469033015,332434.7803193188
2022-04-30,324851.1939528389,314882.7138711445,335288.1367169704
2022-05-31,327605.32651879935,317382.31284012675,337756.09629833204
2022-06-30,330426.5815907398,320186.2325771419,340681.5021732378
2022-07-31,333409.7231938225,323445.93031107885,343251.73636458535
2022-08-31,336297.8169436914,326167.78300064005,346758.0260370055
2022-09-30,339080.3861555237,328654.54792986077,348378.9678905805
2022-10-31,342322.2077568578,333165.4394522038,352829.36312735983
2022-11-30,344990.2940562975,334914.57817029353,355579.5327656696
2022-12-31,347586.235110014,337493.6608023892,357107.4252655717
2023-01-31,350038.3494963917,339777.408274434,359542.8064931765
2023-02-28,354727.4007486527,344504.13697768754,364932.01557952905
2023-03-31,356611.90582360374,346734.30611630884,367174.4467675684
2023-04-30,358574.299415838,348979.23929061857,368483.448721779
2023-05-31,360994.38524249167,351939.96895771736,371178.1194999859
2023-06-30,363861.49954288313,353662.8065339108,373816.78504241415
2023-07-31,367225.8782355506,357323.64012505586,376964.37620457966
2023-08-31,370480.2263947555,360951.9569570383,380499.2522210462
2023-09-30,373711.22030853754,362272.8690584538,383936.45270779345
2023-10-31,375980.32502331195,365676.2085590783,385977.75153969886
2023-11-30,378714.1340788635,369423.7285102026,388774.69546944206
2023-12-31,381105.53684861434,371308.1993661465,391138.2259213154
2024-01-31,383009.27444213,372860.74969160097,392172.3848971141
2024-02-29,385381.2918606888,375960.65929086326,395452.5542254397
2024-03-31,389182.82180195383,379108.5066022429,400026.1962969936
2024-04-30,392917.25427490816,382817.2192183019,402591.0965457107
2024-05-31,396373.97054556553,386307.58332418825,406825.34577969287
2024-06-30,399158.8238811689,389353.355270002,410119.99613945803
2024-07-31,401405.92643347284,391380.0181799984,411853.56654133985
2024-08-31,403552.64574569796,393876.58937191434,413280.9623455772
2024-09-30,405367.1189575577,395644.91966407193,413814.2218565136
2024-10-31,410525.28101954306,401094.30073447013,420148.1512540127
2024-11-30,413088.5172531757,403741.2745878336,423427.71498135576
2024-12-31,416103.28632344375,406127.328563135,425806.06661626225
2025-01-31,419732.60035321536,408938.6887660444,430640.63553940353
2025-02-28,420338.0478705943,410159.4163662713,429764.72216012457
2025-03-31,423533.34283029096,413409.0537365788,433991.4472210964
2025-04-30,426681.5880478524,416911.0693995354,436740.5768344703
2025-05-31,429781.4605409139,419707.46667456813,439281.1493303784
2025-06-30,432575.2846334394,421166.4051047661,442447.09171124117
2025-07-31,435185.8043157815,425076.136777609,445290.6530937123
2025-08-31,437704.4593099207,427835.73511754867,448005.1320109961
2025-09-30,440014.7109518926,430211.25227465876,450194.9048948219
