ds,yhat,yhat_lower,yhat_upper
2000-01-31,206608.27125520838,184511.63179062016,229337.76828568568
2000-02-29,208320.97775234585,184472.43844364924,232026.0149031098
2000-03-31,212386.14348684656,189429.70780646108,235524.25054884952
2000-04-30,216682.85464308414,192677.6601006302,239378.97364641173
2000-05-31,220644.17119410718,197838.75777077104,244590.07198491791
2000-06-30,223607.14573857613,200809.23787679186,248139.03382124653
2000-07-31,225383.449606217,202618.06048000779,247616.64628990152
2000-08-31,227410.818797351,203666.9685781326,248967.31591155028
2000-09-30,229534.61938038707,206538.78220838957,252825.77293421948
2000-10-31,234674.66480663358,211781.54597856142,259415.71716700072
2000-11-30,238070.1469066045,213909.07113917923,261440.89177069362
2000-12-31,242370.26098910643,218977.28581270506,265390.6681175917
2001-01-31,246692.4826710522,224954.39040695256,270259.64864141995
2001-02-28,245211.09834323032,222668.34682395813,268715.71864686074
2001-03-31,248176.46248332626,224620.5966982727,271517.41175538936
2001-04-30,251472.68413527173,229349.88459246556,273735.0609718959
2001-05-31,254770.35268215142,232655.9255676662,278621.0514010197
2001-06-30,257765.0515682039,235062.10165341126,280704.77682900673
2001-07-31,260213.28971115244,236754.0532976731,284542.79709096416
2001-08-31,262770.25483494526,237914.56344037363,286939.0641721694
2001-09-30,265454.1281853416,243296.5600217454,287953.18471944734
2001-10-31,269706.3418383962,247265.50461411008,293449.0744409993
2001-11-30,272973.62438472244,251568.5224295049,296736.8171702593
2001-12-31,276441.30120293505,253068.86253809044,298269.2145481745
2002-01-31,279902.61654891714,256786.6930242515,301693.4078075426
2002-02-28,282133.3092908379,260221.370773017,308082.4937738408
2002-03-31,283939.8315821948,261628.1436650954,308201.898510614
2002-04-30,286226.2268565124,263769.7601481057,309631.3843991611
2002-05-31,288879.26440725534,265381.7155927211,312033.67810427386
2002-06-30,293236.2672168708,267830.06882197544,317312.19962936273
2002-07-31,297712.1399817871,275148.737130045,318047.1121528573
2002-08-31,302134.390698715,279061.7422743827,325626.22948074056
2002-09-30,306647.01239687204,283234.56640108494,331072.92503186926
2002-10-31,311335.34618268104,286446.72616987536,333687.018053019
2002-11-30,315771.40899703786,292363.11277816765,339674.82158081647
2002-12-31,319756.53838104825,296110.44378369296,344600.2656812086
2003-01-31,323753.146275868,298746.9452390119,347152.481198987
2003-02-28,330899.9121782549,306681.5423720717,354722.8614520003
2003-03-31,332830.9319465994,308574.9403863431,356101.93987299956
2003-04-30,337727.98955021234,315360.2903899723,361074.271668971
2003-05-31,343505.4302751053,320488.7483400746,366978.8907014443
2003-06-30,350288.3230157254,328817.06777756015,375078.10404756805
2003-07-31,357870.67579542333,334390.34561448026,381422.7455510543
2003-08-31,365217.0688728249,342678.49969445023,389080.59416920884
2003-09-30,372559.5930699791,349786.17019938765,396225.3056293401
2003-10-31,378733.15878999914,356852.1396004314,400916.1958435843
2003-11-30,385368.8820252662,363969.6371223665,408479.844478108
2003-12-31,390946.72331988,367434.8421646473,412188.31289445865
2004-01-31,396599.34193175065,372853.0492075008,421442.18688058096
2004-02-29,401819.13788601157,378376.88844911725,423534.88872298633
2004-03-31,409633.2613160516,385341.8604155702,431114.9246187698
2004-04-30,417557.99604861846,394471.9130482842,441205.2723755146
2004-05-31,425268.27029517794,403173.82052703213,449716.91417182575
2004-06-30,431859.268415986,408747.0718219436,456269.3999198755
2004-07-31,437384.5299791681,414148.29925470403,458491.04618891305
2004-08-31,443160.8568658437,419766.58224672376,466199.13417691865
2004-09-30,448912.6810252112,426594.3266331419,471671.08281280875
2004-10-31,457801.68414700945,434381.64932495874,482151.9187392245
2004-11-30,464825.1896996791,443063.0090737094,485958.9508308949
2004-12-31,472874.26134999614,449591.23991461686,496514.5176319679
2005-01-31,480945.44059973385,457067.79924899695,502583.9002249389
2005-02-28,482850.2114944404,460382.3241399582,504487.09346625995
2005-03-31,489564.5332023253,466824.3869714381,512693.41491260927
2005-04-30,496488.77830698004,472982.33358271146,518080.56283311825
2005-05-31,503535.4044216547,478645.6854197342,524610.0745766097
2005-06-30,510158.1267604213,487388.24169234466,533579.2786369586
2005-07-31,516355.32247116824,492852.93578939384,537594.4905401621
2005-08-31,522661.2441325295,501002.69119244185,546965.9770798119
2005-09-30,528973.1381612857,506697.39378165925,551153.9881592357
2005-10-31,536974.3065153052,513274.7892496279,560368.3640386687
2005-11-30,543869.6097399897,519640.55965855374,568623.7661989067
2005-12-31,551086.2412591703,528285.7438635989,573914.9780865271
2006-01-31,558296.5113061391,537500.8646938932,582280.0493449103
2006-02-28,563913.356681177,542062.4256569439,588750.09970752
2006-03-31,569468.8336735081,546134.1405616187,591705.9188156194
2006-04-30,575383.2496261839,553849.3265890856,598572.4263482522
2006-05-31,581785.2418778923,558559.6419850232,604604.0170096091
2006-06-30,582263.1503777844,558902.8712916755,605334.5673647047
2006-07-31,582730.6256893064,559107.989186801,606206.8115082361
2006-08-31,583144.478952849,559919.0692171855,606404.7995255766
2006-09-30,583778.0063412775,560725.6020493192,606729.7684931743
2006-10-31,584457.9426736826,560649.9294062051,607560.0705978693
2006-11-30,585014.9111783105,562783.2536281974,608372.2887653088
2006-12-31,584991.6431089159,560926.5892948932,607333.2396506655
2007-01-31,584979.853550349,562792.3002583272,608881.0190796119
2007-02-28,588506.1314303124,564423.531480869,610450.330927953
2007-03-31,580155.7715873736,556281.729674386,603585.5166784998
2007-04-30,572773.4015097987,549444.8376663721,594736.9484316689
2007-05-31,565862.100297461,541689.0220061364,589112.9079441717
2007-06-30,560365.5653568868,534670.6797159917,582699.007404056
2007-07-31,555259.176199356,531749.8152667708,577883.9607002334
2007-08-31,549916.8273395279,526820.6927719781,573764.8440382463
2007-09-30,544979.9238554958,521121.857941099,570018.3962792392
2007-10-31,538464.7476382753,514776.0503238672,563049.9211475146
2007-11-30,532821.0431923594,509258.1373419207,555574.151075931
2007-12-31,525710.1424633078,501160.7538751111,549549.2785006026
2008-01-31,518674.019018749,493740.9947439364,541326.3068549865
2008-02-29,512023.7014363332,490225.6772920362,535745.8497189459
2008-03-31,507149.082809949,483074.1942141822,531740.1595157494
2008-04-30,502794.38974595175,479430.4247176668,526544.4709547423
2008-05-31,497815.92193607613,473889.0825047863,520173.34944438824
2008-06-30,492127.49226033076,469711.73207929754,515049.54644482624
2008-07-31,484964.01176706847,462187.388501418,508040.3202215399
2008-08-31,478051.59659730503,456638.3916519407,501348.3627485922
2008-09-30,471523.992960125,447375.4018169462,494330.3411163561
2008-10-31,467724.25402085355,444935.07553478953,488927.78850775043
2008-11-30,462468.33177372196,439880.47304236237,486716.46083779354
2008-12-31,457828.6613642257,435013.49748111685,480629.6623049832
2009-01-31,453211.0985541658,431268.23538680695,476477.79431906034
2009-02-28,443655.0701690446,422157.27856069966,465318.8395198351
2009-03-31,437680.6498171456,414018.9952891145,460916.8964770374
2009-04-30,432325.46712199086,410800.65117320145,455503.96861200966
2009-05-31,426683.3511768717,403218.97507588315,449735.56339564925
2009-06-30,421026.6457158267,398986.42402053997,445816.8439172651
2009-07-31,417887.14521179727,394767.7893850845,440530.8497805879
2009-08-31,414856.3716886235,391071.7766095931,436799.6533973761
2009-09-30,412132.7542484733,387813.1949993584,434037.7023946278
2009-10-31,410797.22741795646,388630.01267933485,433821.6478527712
2009-11-30,408657.0191737327,384349.4489459123,433214.02931348886
2009-12-31,406536.9555083639,383497.39465742715,429888.38992645155
2010-01-31,404410.5303707892,381055.22157759,426657.8216028466
2010-02-28,401594.2317081983,377616.2145637214,424160.05182095413
2010-03-31,397813.01351598126,374373.0215490187,421224.5147044266
2010-04-30,394691.9179997574,369754.1553176431,416068.9602304237
2010-05-31,393386.3957461123,368346.54323523847,416205.9612973431
2010-06-30,392614.2180607715,368807.40236668696,417677.79577307426
2010-07-31,391789.93764756736,369348.59520314465,414759.0510031703
