ds,yhat,yhat_lower,yhat_upper
2000-01-31,211640.41057584557,205274.2970410297,217932.42674025058
2000-02-29,213956.25558841502,206733.5810001753,220123.08453254198
2000-03-31,216793.81648456285,210529.94879126575,223222.46635728012
2000-04-30,219990.937868885,213513.37690443677,226801.08724826184
2000-05-31,223082.04570445966,216579.52366705617,229706.6818758354
2000-06-30,225845.86428331138,219304.26027911564,232460.66423034473
2000-07-31,228168.90957174162,221726.852705311,234610.88447982483
2000-08-31,230409.1759227141,224039.35213297367,236448.41322604474
2000-09-30,232510.78839532926,225632.16025523527,238545.72115507966
2000-10-31,234299.67758696838,228343.21240361972,240714.845744342
2000-11-30,236633.1275267568,230286.85507208563,243327.93715036055
2000-12-31,239139.80677383093,232813.1593732615,245624.44051860625
2001-01-31,241659.5134881197,235019.21835323327,248414.82268860398
2001-02-28,243638.2563903751,237145.8846494422,250690.07437780875
2001-03-31,246436.40145161818,239812.09893024358,253027.34519526872
2001-04-30,249447.0956421457,243444.08403450125,256398.0486222234
2001-05-31,252456.98910599566,246325.82144333806,258866.0726092593
2001-06-30,255250.95948177963,248970.54972692605,261781.54901925524
2001-07-31,257692.82356128376,251266.06071548772,264256.63833878684
2001-08-31,259955.19225510932,253976.0884841556,266596.5485916146
2001-09-30,262229.19301361835,255797.145291678,268526.39463219384
2001-10-31,264326.41431108257,257846.4516365206,270496.71255275066
2001-11-30,266728.8081339543,260230.19908911936,273242.5583897295
2001-12-31,269273.5074676627,263025.4945672937,276426.61435000313
2002-01-31,272019.19228420674,265273.8388596536,278612.94017495494
2002-02-28,274527.5110445769,268094.8258730218,280912.5623973002
2002-03-31,277485.3533529469,270876.74105778366,283623.66267176
2002-04-30,280506.9497038409,274035.4180093641,286937.168231828
2002-05-31,283644.9945141079,277039.2042433413,290401.4216674388
2002-06-30,287368.49847822456,281093.49021229777,293763.3435613596
2002-07-31,290854.774098072,284598.3599947234,297171.3455408738
2002-08-31,294062.31767600717,287580.1566457779,300893.5229776624
2002-09-30,297004.24727475137,290441.20728100504,303458.4945074354
2002-10-31,299920.2988648493,293641.975979321,306570.114434467
2002-11-30,302884.5231031352,296356.1528230412,309170.90379764716
2002-12-31,305983.23194055643,299164.26399547636,312151.2355429861
2003-01-31,309474.3696123797,303088.94060668274,315572.7173594926
2003-02-28,312974.1523968254,306606.1199930538,319469.24396892777
2003-03-31,316597.50340685446,309949.63702400634,322698.68524683575
2003-04-30,320426.9257116197,313934.1550158383,326926.75782421435
2003-05-31,324521.9249878873,318137.4062861265,330718.0267728466
2003-06-30,328586.6608172049,321896.99032784137,335372.7571085893
2003-07-31,332505.5601036185,326043.32161311706,338938.43704079173
2003-08-31,336044.0670038179,329538.6639431594,342151.9827536309
2003-09-30,339260.1325371064,332934.59952822473,346013.9753988485
2003-10-31,342586.4733902727,335778.7349553055,349308.476521878
2003-11-30,345716.2832488736,339684.010638807,352543.14483500697
2003-12-31,348966.231700128,342471.54356059403,355392.6899403126
2004-01-31,353227.60190338676,346657.3272823115,359929.2750202075
2004-02-29,357098.1176976142,350826.56822507386,363424.15775149164
2004-03-31,361597.56805001665,354983.01855202304,368066.3762173092
2004-04-30,366402.96955329395,359949.04140519607,372800.868372368
2004-05-31,371155.966845123,364498.3393453791,377562.8593488382
2004-06-30,375528.0655429315,369340.2907463878,382014.93795665365
2004-07-31,379513.00028761674,373310.42550267244,385931.8844564044
2004-08-31,383415.15609484306,376866.41715504037,389932.5282767262
2004-09-30,387125.0486864141,380661.27156996354,393700.8776773483
2004-10-31,390575.8273343083,384003.6343387236,397556.379682161
2004-11-30,394517.56240076234,387988.6771645773,400972.1511453397
2004-12-31,398686.1362787274,392494.1140457296,404902.7948137181
2005-01-31,402867.7376239033,396238.21559407446,409324.99746378115
2005-02-28,406347.5466443806,399581.76633036684,412691.0397625764
2005-03-31,410807.58633651125,404082.78266886726,417416.6343175208
2005-04-30,415426.56565370486,409144.93608782865,422104.8088199913
2005-05-31,420098.3537484428,413996.13787235576,426888.7040347019
2005-06-30,424500.60925089364,417827.153448293,430500.29832055717
2005-07-31,428604.36796128633,421907.5961947924,434882.04208476003
2005-08-31,432528.6311257699,425781.5740380488,439125.40335888445
2005-09-30,436211.48003587435,429018.09137576545,443198.64083058445
2005-10-31,439764.5110899879,433448.22754040814,446082.78842057526
