ds,yhat,yhat_lower,yhat_upper
2000-01-31,211640.41057584557,204967.90557393394,217988.54594083145
2000-02-29,213956.25558841502,207114.00409347442,220421.30535668583
2000-03-31,216793.81648456285,210864.221145667,222618.09491111158
2000-04-30,219990.937868885,213220.05593994097,226355.46122535862
2000-05-31,223082.04570445966,216629.61934821936,229395.41266338647
2000-06-30,225845.86428331138,219309.18366273577,232414.28094154573
2000-07-31,228168.90957174162,221534.83045374003,233965.30691403762
2000-08-31,230409.1759227141,223905.85915499565,236505.84422245095
2000-09-30,232510.78839532926,226181.24302351451,239136.92485582872
2000-10-31,234299.67758696838,227791.462867559,240713.14971870172
2000-11-30,236633.1275267568,229919.7352321129,243183.3572429913
2000-12-31,239139.80677383093,232826.56457200844,245568.82434973653
2001-01-31,241659.5134881197,235333.518062448,247669.18931120934
2001-02-28,243638.2563903751,237193.3078040607,250266.32554237358
2001-03-31,246436.40145161818,239480.0107751531,253141.40879275918
2001-04-30,249447.0956421457,243314.69804247346,255753.75920982537
2001-05-31,252456.98910599566,245773.01615240204,259089.0228188446
2001-06-30,255250.95948177963,248837.35920818787,261196.83511132872
2001-07-31,257692.82356128376,251255.2006524631,264154.6160796267
2001-08-31,259955.19225510932,253508.8471140687,266619.45719987963
2001-09-30,262229.19301361835,255475.98945873172,268851.67154583073
2001-10-31,264326.41431108257,257766.7129662385,270796.32015832735
2001-11-30,266728.8081339543,260519.04007853946,273162.98951780767
2001-12-31,269273.5074676627,262927.19983766123,275736.2280956635
2002-01-31,272019.19228420674,266015.4535585936,278190.6484633328
2002-02-28,274527.5110445769,268491.7039960717,280738.4448145744
2002-03-31,277485.3533529469,270840.3677962037,283721.0922236075
2002-04-30,280506.9497038409,274053.701904941,287346.0988382767
2002-05-31,283644.9945141079,277336.4710232763,290151.89450545516
2002-06-30,287368.49847822456,280602.4966300463,293881.3726543093
2002-07-31,290854.774098072,284406.27661642944,297150.6826548626
2002-08-31,294062.31767600717,287191.80230882415,300420.64124333195
2002-09-30,297004.24727475137,290327.1989102689,302834.6447620858
2002-10-31,299920.2988648493,293475.1799163408,306411.3033479665
2002-11-30,302884.5231031352,296188.69942083134,309569.9440990611
2002-12-31,305983.23194055643,299619.49803813425,312199.0326303307
2003-01-31,309474.3696123797,302620.4756118746,315313.545769706
2003-02-28,312974.1523968254,306554.7812533344,319777.75153481506
2003-03-31,316597.50340685446,309926.4851709038,323507.08940538066
2003-04-30,320426.9257116197,314497.1007518102,327825.56191534345
2003-05-31,324521.9249878873,317750.0770493211,330996.15886614466
2003-06-30,328586.6608172049,322379.98435369227,335059.4429584239
2003-07-31,332505.5601036185,326048.4337010217,339325.8189009357
2003-08-31,336044.0670038179,329699.6403775194,342629.1455615011
2003-09-30,339260.1325371064,332660.1450091275,345557.8081893841
2003-10-31,342586.4733902727,335787.0097951552,348931.8945337776
2003-11-30,345716.2832488736,339148.995453169,351850.9593489565
2003-12-31,348966.231700128,342108.09554609907,355297.2818705979
2004-01-31,353227.60190338676,346260.1421952018,359756.58244356985
2004-02-29,357098.1176976142,350551.6317866698,363546.27091880067
2004-03-31,361597.56805001665,355728.23688866955,368020.91876151046
2004-04-30,366402.96955329395,359836.90061805956,372252.6691562219
2004-05-31,371155.966845123,365092.72017252987,377969.5717685574
2004-06-30,375528.0655429315,369023.7937339048,381641.4992802976
2004-07-31,379513.00028761674,372693.8301315373,386028.02626810374
2004-08-31,383415.15609484306,376729.85943978775,389674.56752164965
2004-09-30,387125.0486864141,380785.3796842301,393775.7697138745
2004-10-31,390575.8273343083,384379.03518370533,396936.1863559176
2004-11-30,394517.56240076234,388253.8349699895,400759.19066923123
2004-12-31,398686.1362787274,392001.9348459581,405042.1644162874
2005-01-31,402867.7376239033,396261.4546893635,409246.10941383435
2005-02-28,406347.5466443806,399688.5583542964,412400.15674857993
2005-03-31,410807.58633651125,404044.98847082566,417432.4288426848
2005-04-30,415426.56565370486,409252.3133419726,422794.7759381328
2005-05-31,420098.3537484428,413547.7441780948,426325.40993631503
2005-06-30,424500.60925089364,418223.96676709485,430741.50942958606
2005-07-31,428604.36796128633,422283.8390659979,434992.8868007037
2005-08-31,432528.6311257699,425908.4239958934,438933.6086743406
2005-09-30,436211.48003587435,429936.51652793156,442510.7678500032
2005-10-31,439764.5110899879,433516.22403332597,446420.89636701305
2005-11-30,443575.7530644546,436977.9583163653,449759.62025500764
2005-12-31,447576.2621548112,441196.78149409837,453975.21435276273
2006-01-31,451777.75672800577,445201.7779151748,458637.8364835601
2006-02-28,455601.0004298636,448838.4726533806,461904.26672271
2006-03-31,460014.652494883,453755.7769546005,466688.53892179317
2006-04-30,464445.0969973717,457523.69270374544,471088.1273621611
2006-05-31,469038.95156428724,462487.3228906163,475124.19085554563
2006-06-30,469940.5750806719,463500.9963518696,476797.52419886476
2006-07-31,470510.9075711946,464573.50253960106,477151.09687413205
2006-08-31,470802.5080198056,464270.6277363343,476942.44434063917
2006-09-30,470922.5571708166,465051.9626693912,477532.6891627066
2006-10-31,470922.6656315893,464090.05513339787,477340.6002104588
2006-11-30,471065.00942214247,464712.94893589773,477500.3568063597
2006-12-31,471247.77513023687,464856.7215695238,477893.83851999685
2007-01-31,471822.9696727373,465616.00223217433,478175.9137904007
2007-02-28,472688.9973726312,465697.1327259619,478830.57439680473
2007-03-31,471088.45602730854,464492.7037472946,477627.113246342
2007-04-30,469559.9562922469,462896.19952059,476059.6449506541
2007-05-31,468118.4361273598,461592.38993519876,474323.941992091
2007-06-30,466825.2499168493,460644.9161022844,473703.7007329039
2007-07-31,465207.6297621082,458394.56050272,471584.4547130766
2007-08-31,463209.61722115264,456535.21265116456,469265.2622379316
2007-09-30,461067.76071461395,454482.6128534813,467579.52959471435
2007-10-31,458857.582126625,452476.9517164831,465438.55087384867
2007-11-30,456629.46994539903,449723.1238160874,462898.9999786854
2007-12-31,453566.36681708664,447389.69560364087,460179.2200888002
2008-01-31,451090.34959787014,444163.06621357496,457466.3229936888
2008-02-29,448658.1481259084,441883.28589008586,455231.5803184336
2008-03-31,446420.2110558356,439909.40273923683,452732.0816730323
2008-04-30,444705.5602147796,438142.056466195,450868.6451894616
2008-05-31,442721.1700841316,436057.16125357844,449373.64477368596
2008-06-30,440573.21643760795,434361.36313074804,446866.2422867618
2008-07-31,437820.7637598153,431259.8657653823,444495.4205870787
2008-08-31,434985.53214456484,427874.7706524033,441439.3288660315
2008-09-30,432175.37239180366,425449.24835226405,438452.61648916185
2008-10-31,428888.7625052566,422784.54491234984,435330.5680883044
2008-11-30,426310.43913085375,420058.50830639864,433279.3250340519
2008-12-31,423741.619286598,417377.85601341753,430158.9386749625
2009-01-31,421185.82690955576,414614.2456124126,427985.43371046096
2009-02-28,418580.24805189937,411636.04424462555,424799.5420871053
2009-03-31,416302.8940218125,409756.31734443194,423123.80440562544
2009-04-30,414401.8148981495,408298.7509209262,420821.0312373157
2009-05-31,412336.20927066915,406263.547417328,419245.85620194225
2009-06-30,410218.4063322627,403546.3888600358,416786.12400853826
2009-07-31,408805.2907821792,402554.1459323998,415672.0341381385
2009-08-31,407212.67984641856,400720.78361829044,413970.806691997
2009-09-30,405556.6183369314,399039.3947413466,412197.44942727085
2009-10-31,403592.7752907999,396773.0972011335,409857.78075967263
2009-11-30,402065.1068456744,395687.0474518611,408190.3118929396
2009-12-31,400548.74183578446,394254.6062837007,406853.6682611383
2010-01-31,399233.36230873363,392502.8272327953,405830.29037462565
2010-02-28,398073.6229523073,391919.5787767925,404759.0794452305
2010-03-31,396970.4009170804,390456.55932488816,402991.0579635579
2010-04-30,396061.934999979,389539.7303446385,402527.07078934426
2010-05-31,395492.1721271368,388877.7580519577,402079.20585302636
2010-06-30,394931.821752387,388201.79694493895,401271.8087905808
2010-07-31,393991.44788873976,387474.5247958277,400587.40486237657
2010-08-31,392772.3419831804,386650.6771732813,399151.7886090807
2010-09-30,391430.41724305815,384874.3939505175,397891.14208925003
2010-10-31,389919.8193496606,383292.71620563907,396663.5721868124
2010-11-30,388600.189249081,382107.0627997668,395439.6749015819
2010-12-31,387272.24860300694,380893.9972011657,393461.7367975555
2011-01-31,386336.7367913346,379595.2997489654,392939.22081429046
2011-02-28,385838.2556584975,379197.66120005335,392069.5060273159
2011-03-31,385034.9573315337,378818.47225203237,391354.46201310854
2011-04-30,384277.9830981096,377932.51992039493,391424.11071510415
2011-05-31,383633.7059515823,377115.14192959794,390257.99863071716
2011-06-30,383112.04524271016,376375.64585647,389790.8857209142
2011-07-31,382291.66810632823,375366.3265142032,388825.9485090862
2011-08-31,381090.89858373225,374689.562635589,387442.51400202495
2011-09-30,379720.56757883134,373301.2179977523,386375.54358987795
2011-10-31,378307.632009202,371647.9570219867,384569.629598193
2011-11-30,376851.0453296143,370877.2572242725,383414.06779880775
2011-12-31,375863.4575300308,368706.58318838367,382298.56973631156
2012-01-31,375462.9556395396,368608.64367301343,382488.50949722395
2012-02-29,374972.3652815493,368601.7882889387,381803.83471068635
2012-03-31,374809.94354020065,368389.4274599839,381311.1792407441
2012-04-30,375103.85592049477,368433.536202673,381466.55515345524
2012-05-31,375194.9811185728,368194.9151110128,381372.7843495942
2012-06-30,375055.5906933982,368801.6646978464,381015.4914403364
2012-07-31,374378.65334433207,368085.9597770276,381071.9929564658
2012-08-31,373618.9370578082,367065.873857503,379656.2618282371
2012-09-30,374084.2690673388,367137.66198234085,380633.0711429173
2012-10-31,374182.3351137889,367625.79982703476,380257.4216307578
2012-11-30,374879.50457777246,368085.36207026296,381100.54468586744
2012-12-31,375695.3606665147,369497.9057536511,382318.55479723815
2013-01-31,376524.2442224699,370085.36786160077,382801.89936682815
2013-02-28,376975.7920139745,370155.8568888172,383571.2755188327
2013-03-31,378083.1139168839,371461.20863428694,384850.75491039903
2013-04-30,379457.52763160586,372835.7435983281,385712.419692808
2013-05-31,380776.59793712304,374207.65675634524,387553.75569822994
2013-06-30,382584.7632806632,376298.27717010264,388902.99133421876
2013-07-31,384007.9621601835,377575.20899270265,390241.08924044756
2013-08-31,385251.66565402376,378667.99341131357,390812.07785643585
2013-09-30,386340.4245602801,379262.55289397045,392744.2873975034
2013-10-31,387212.8959437501,380664.3603965249,393859.8550103782
2013-11-30,388430.0479143684,382114.14439107734,394927.1900023194
2013-12-31,389749.9973340824,383592.74300984835,396072.38315226324
2014-01-31,391270.9322366325,384555.5876187196,397926.7185683718
2014-02-28,392673.0252682334,386531.14631129464,399263.21595389256
2014-03-31,394406.1176626096,388082.7187600391,400528.77558137156
2014-04-30,396242.4721724876,389318.0842760009,402935.9401570472
2014-05-31,398155.7670803728,391461.27296405844,404597.1982829121
2014-06-30,399998.37584826205,393106.92793785373,406364.404464895
2014-07-31,401541.0597653432,395600.32935598056,408120.68167574564
2014-08-31,402805.011640511,396570.36275793804,409246.11831071257
2014-09-30,403866.0460430285,397584.830396729,410567.2495681378
2014-10-31,404838.5059303584,398521.92359736195,411661.45189029793
2014-11-30,405921.83497241745,399290.6971175092,411665.02274427115
2014-12-31,407076.9521070707,400376.9529888166,412957.5699965118
2015-01-31,408624.4987672429,402334.99806780834,415319.1474236692
2015-02-28,410368.77999277785,403601.49584790046,416948.8754943112
2015-03-31,412048.53999115864,405689.4873021489,418599.83456821926
2015-04-30,413694.52542741963,407371.92000644514,419826.3964984802
2015-05-31,415533.3066062334,409367.91589267907,422188.87862746586
2015-06-30,417414.6055670482,411346.05294672353,424045.5763962741
2015-07-31,419077.2867560083,412862.5834414975,425692.2456446433
2015-08-31,420359.57555875403,414075.4860113927,427279.76950308384
2015-09-30,421392.2042235386,414958.83017246536,427956.1692878954
2015-10-31,422462.32697925216,415767.4294246491,428852.1107995549
2015-11-30,423564.20102382125,416783.71270861937,429644.3325559055
2015-12-31,424718.6158005759,418566.3203436593,431737.0899111588
2016-01-31,426460.1164864245,420349.9579792317,433260.6219762833
2016-02-29,427973.33499017084,421556.77889989817,434715.1103630776
2016-03-31,429952.915825162,423531.64341329713,436513.8878722562
2016-04-30,432319.73392449215,426554.38759252947,439055.699695927
2016-05-31,434552.86169890926,427746.8676679164,441288.2071485334
2016-06-30,436486.3769927704,429685.01210039237,442944.93044311536
2016-07-31,437951.4422200445,431150.85848051606,444421.4123816749
2016-08-31,439333.90596147766,432754.78110003175,445630.1793430246
2016-09-30,440605.38687647495,434308.2549189775,446938.1158545597
2016-10-31,441536.4734585756,435281.9281683282,448031.8564501429
2016-11-30,443039.7918280261,436425.62176785065,449498.803700026
2016-12-31,444688.6684524175,437727.8320057298,451496.42738317925
2017-01-31,446350.57254402287,439929.13434681634,452886.8005392678
2017-02-28,447554.5259806281,440813.9325301279,454405.52984877245
2017-03-31,449494.8684191889,443107.21277207526,456568.3945800432
2017-04-30,451675.43103937816,445192.7968600684,457624.4836310689
2017-05-31,453827.5218805448,447501.13805761375,460196.36426393664
2017-06-30,455791.3606669168,449497.141739257,462299.01399275125
2017-07-31,457375.4221040276,451119.95308649825,464000.6201319877
2017-08-31,458779.98815545975,452317.29454824084,465375.8469861029
2017-09-30,460024.4205045479,453426.9459884761,466631.75054044777
2017-10-31,461057.75444560946,454479.9144716702,467967.0560406117
2017-11-30,462430.5798590588,455738.45760524616,468761.9049129131
2017-12-31,463911.391836363,457039.1990028395,470045.696589049
2018-01-31,465593.1892965061,459161.7583381167,472379.9858443913
2018-02-28,467140.5775414152,460714.6029465305,473404.2838622756
2018-03-31,468923.3300721314,462321.676393763,475487.6758374678
2018-04-30,470807.7427672331,464213.52109187463,477236.40281842946
2018-05-31,472770.69779984624,466460.8832307719,479616.5872147148
2018-06-30,474661.3647529577,468423.1905795774,481584.0841795023
2018-07-31,476253.7087947655,469733.6908787346,482982.7752780101
2018-08-31,477567.3207946623,471181.7933358065,484362.03393427207
2018-09-30,478676.4133824003,472472.2901910083,484666.9500985248
2018-10-31,479698.5333944595,473464.7789230852,486040.8501963628
2018-11-30,480829.9206217395,474290.1894791235,486811.0335708586
2018-12-31,482034.69788112084,475488.2050093192,488308.7010828675
2019-01-31,483631.8042052083,477386.01730849274,490566.15510358044
2019-02-28,485420.8489981532,478966.0360319615,492137.8530943007
2019-03-31,487150.1686604467,480622.88099138526,493736.3132561345
2019-04-30,488844.1150617893,482298.8133635441,495264.99552109843
2019-05-31,490732.45590451977,484145.84952467936,497009.90566125076
2019-06-30,492661.71583041426,485980.8364230083,498821.0663730772
2019-07-31,494373.95668328914,487931.834215328,500597.99989191454
2019-08-31,495705.80514995084,489443.1182453613,501765.3656318139
2019-09-30,496786.39477981644,490302.46984123846,502951.61589443206
2019-10-31,499307.08328456536,492404.9309544289,505540.0184415129
2019-11-30,501657.2295801832,494782.093229219,507960.10457678424
2019-12-31,504101.5256830214,497973.8970382332,510424.0477831587
2020-01-31,507132.9076949511,500686.83336930186,513370.30848831177
2020-02-29,509852.7893747094,502755.60355954507,515994.72411620704
2020-03-31,513122.2515357837,507004.90112270584,519529.3503875218
2020-04-30,516737.3418861628,510808.14741630765,523174.9522558037
2020-05-31,520260.3509866638,513879.63053185353,526497.6756978107
2020-06-30,523442.1385315741,516673.78526157234,529939.2918725472
2020-07-31,526197.0850849291,519576.61157406215,532801.3746411459
2020-08-31,528869.2527008279,521938.1657525914,535251.2146254678
2020-09-30,531388.834139501,524556.5253644676,537896.882141422
2020-10-31,533609.6245960655,526811.7656564125,539629.4222763971
2020-11-30,536361.043489191,529857.6844612733,542531.6931664725
2020-12-31,539299.6239880464,532456.3662889118,545315.8705221266
2021-01-31,542251.2319541178,535795.6928536824,548958.997392242
2021-02-28,544620.0792128217,537969.1096146504,551011.013369238
2021-03-31,547850.125525847,541200.8995586414,554333.466658525
2021-04-30,551278.7886697112,544957.8728627354,557496.381668061
2021-05-31,554720.5833853423,548166.9190026249,560973.745723944
2021-06-30,557932.5227144641,551649.5558498772,564341.2381395283
2021-07-31,560806.2880457502,553920.7457911387,567296.7204478931
2021-08-31,563500.5579913572,556960.480139028,570233.8222215126
2021-09-30,565993.0908831954,559217.0325637177,572228.3476793079
2021-10-31,568316.128718432,561805.1004488758,574882.1808513092
2021-11-30,570937.0546746319,564424.0046118951,577563.0967325553
2021-12-31,573707.5705461125,567174.2443404844,580464.2733076895
2022-01-31,576679.0719004292,570163.7346327102,583041.6775179314
2022-02-28,579391.3539852405,572645.6935149418,585831.1904825052
2022-03-31,582575.0128313812,576078.510291821,589063.5661215438
2022-04-30,585815.1413156039,578953.4047154039,592497.7267232664
2022-05-31,589179.002663643,582894.8934082715,596005.5006153437
2022-06-30,592425.3854058749,585996.7948178569,598819.6060356365
2022-07-31,595418.635763111,588876.6281523608,601843.2137095601
2022-08-31,598133.1540784328,592089.0901169503,604818.2757622111
2022-09-30,600597.9624552925,594184.84914262,606858.5818727135
2022-10-31,603020.9887827765,596333.7114128908,609213.4704577284
2022-11-30,605508.091799179,599047.2299341151,611616.6259687702
2022-12-31,608113.7753739861,601591.663831834,614397.4427052984
2023-01-31,611111.8877831958,604272.8515139059,617413.8897643933
2023-02-28,614166.3574272171,607557.545941746,620056.549752939
2023-03-31,617296.683174634,610389.4485290269,623846.1722345306
2023-04-30,620346.4419164145,613754.9274386596,627335.4620224781
2023-05-31,623635.7888442664,617067.1474977806,629609.9757346463
2023-06-30,626920.8611106009,620180.4069554663,633361.276090704
2023-07-31,630034.1080485976,623690.0943920102,636646.9405494906
2023-08-31,632766.9626003815,626438.8737719856,639550.2721185809
2023-09-30,635203.3645706866,629025.9525706695,641839.2566330471
2023-10-31,637724.0530754356,631317.608829661,644252.5042181078
2023-11-30,640074.1993710528,633898.1499902508,646856.3905085241
2023-12-31,642518.4954738903,636103.9427991171,649650.4965745269
2024-01-31,645549.8774858216,639207.7629150549,652005.871322667
2024-02-29,648269.75916558,641341.5575491423,655287.987731519
2024-03-31,651539.2213266542,644722.4832481242,657525.3648359921
2024-04-30,655154.3116770323,649182.7808677849,661612.8631109069
2024-05-31,658677.3207775333,652232.2590938031,664979.1221579084
2024-06-30,661859.1083224429,655431.7448129889,668335.615501708
2024-07-31,664614.0548757992,657935.0317953213,671409.5256099612
2024-08-31,667286.2224916978,660433.100859319,673524.227350829
2024-09-30,669805.8039303697,663727.5934045119,676217.212655029
2024-10-31,672026.5943869356,665601.2082154098,678697.7841917106
2024-11-30,674778.0132800598,668273.4660993485,680977.9105844492
2024-12-31,677716.5937789181,671244.3341385914,684577.131169147
2025-01-31,680668.2017449879,673717.082234573,687304.1310831171
2025-02-28,683037.0490036926,675971.7508054523,689704.204491773
2025-03-31,686267.0953167155,679089.1754231983,693320.3075865337
2025-04-30,689695.7584605808,682525.8836509578,697126.1478196087
2025-05-31,693137.5531762119,685833.7980390806,700177.1306284633
2025-06-30,696349.4925053354,688778.1531997062,703835.185946199
2025-07-31,699223.2578366208,691831.4370387623,707312.553528346
2025-08-31,701917.5277822281,694049.8351436529,710250.657604923
2025-09-30,704410.060674066,695376.5000795374,713038.1304087384
